id,site,job_url,title,company,location,date_posted,job_type,description,experience_required
in-ce2640feeec4314c,indeed,https://sg.indeed.com/viewjob?jk=ce2640feeec4314c,Research Fellow (Maritime Resilience and Digitalisation),National University of Singapore,"Lower Kent Ridge Road, S00, SG",2026-05-07,,"* CollapseJob Title: Research Fellow (Maritime Resilience and Digitalisation)University-Level Unit: Centre for Maritime StudiesFaculty/Department-Level Unit: Centre for Maritime StudiesEmployee Category: Research StaffLocation_ONB: Kent Ridge CampusPosting Start Date: 27/04/2026**Job Description**-------------------Researcher in Maritime Trade and Industry AnalysisWe are seeking a highly motivated Researcher to join our team and contribute to the field of maritime economics, digital efficiency, resilience, and digitalisation. This position involves an in-depth exploration of disruption scenarios involving the interplay between current global issues and the maritime industry, with a systems thinking approach. The successful candidate will leverage their expertise in economics, computing, and generative machine learning to construct scenarios semi-automatically. Responsibilities:* Conduct rigorous research and workshops into the impact of global events on the maritime industry.* Apply systems thinking methodologies to analyse complex interactions and dependencies.* Analyse data and develop scenarios/simulations.* Develop and implement generative machine learning models to generate plausible scenarios.* Econometric modelling on manpower.* Model trade and shipping patterns.* Collaborate with a multidisciplinary team of economists, engineers, and maritime experts.* Publish findings in reputable journals and present at conferences.* Develop research multi-disciplinary research proposals for industry or grant calls.**Qualifications**------------------* PhD degree in relevant discipline e.g. Economics, Engineering, Business or related field, with relevant experience, knowledge, or strong interest in maritime, trade, and/or supply chain* Experience or strong interest in computing, including programming (Python, R), statistical analysis, and generative machine learning techniques.* Strong analytical skills and a systemic perspective on problem-solving.* Excellent communication abilities for academic writing and presenting.Join us in unravelling the maritime industry's future by examining it through an economic and computational lens. This is a unique opportunity to contribute to cutting-edge research and influence the strategic integration of digitalisation within the maritime sector.**More Information**--------------------Location: Kent Ridge CampusOrganization: Centre for Maritime StudiesDepartment : Centre for Maritime StudiesEmployee Referral Eligible: NoJob requisition ID : 29042",Not specified
in-b18227765bd5fc09,indeed,https://sg.indeed.com/viewjob?jk=b18227765bd5fc09,"Software Engineer, AICET - NUS (1-year Contract; Renewable) 1",National University of Singapore,"Lower Kent Ridge Road, S00, SG",2026-05-07,,"**Job Purpose**---------------The AI Centre for Educational Technologies (AICET) is a research centre that is focused on developing technologies to improve learning. AICET collaborates with the Ministry of Education, Singapore and the National University of Singapore on various projects to build systems that provide immediate personalised feedback to the students, providing content that adapts to their performance, and improve assessment and grading efficiency and effectiveness. The Software Engineer will be part of a team that will build next generation education platforms for the AI Centre for Educational Technologies. (AICET). **Job Description**-------------------To build software for the AI Centre for Education Technologies (AICET) under one of the AICET’s projects. Current projects include:* Codaveri – An auto-feedback programming system* Coursemology - a gamified e-learning platform* Softmark – An online grading too* Cikgo - A personalised learning platform* ScholAlstic - An interactive conversational-based simulation platform* Koditsu - A platform that helps students prepare for tech job assessments and interviews with realistic practice and personalised feedback* SSID - A system that safeguards academic intergrity by flagging potential plagiarism and unusual similarities in student submissions The exact responsibilities and project assigned will be discussed with the successful candidate subject to suitability and also depending on AICET’s needs. **Qualifications**------------------* A graduate or postgraduate degree in relevant discipline. Those with no experience are welcome to apply.* Team player with excellent communication and interpersonal skills.* Ability to build a collaborative working relationship with people at all levels.* Familiarity with web development with modern tech stacks and technologies like Ruby on Rails, nodejs, Golang, React, and JavaScript/TypeScript.* Experience with AI and/or EdTech platforms and system will be preferred. Only shortlisted candidates will be notified. **More Information**--------------------Location: Kent Ridge CampusOrganization: School of ComputingDepartment : Department of Computer Science",Not specified
in-986748f078987d19,indeed,https://sg.indeed.com/viewjob?jk=986748f078987d19,Software Systems Engineer C#.NET/C++,Rockwell Automation,"Singapore, S00, SG",2026-05-07,fulltime,"Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better.We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us!Job Description### **Summary:**Rockwell Automation is looking for a dedicated Software Systems Engineer to innovate, develop, and support high-quality MES, IIoT solutions that positively impact business operations. You will emphasize continual personal and professional development within an integrated global team, responsible for developing critical business systems. The position will oversee successful system deployments and contribute to IIoT/Industry 4.0 solutions for smart connected operations. Leveraging advanced troubleshooting abilities, the engineer will implement and refine DevOps tools and processes. Collaboration with product owners and business analysts is important to understand requirements, specifications, and to develop, test, automate, and integrate applications or solutions that deliver value to Rockwell plants.You will report to our Global Digital Manufacturing Architect, will be based in Singapore working in Hybrid### **Your Responsibilities:*** Develop essential business systems to ensure optimal plant performance.* Support effective deployment and advance the maturity of manufacturing business systems.* Maintain server/platform reliability, scalability, and security. Facilitate upgrades to new technologies.* Troubleshoot, isolate, and resolve application, system, and technical issues.* Pursue opportunities to automate deployment and test scripts.* Monitor system needs to maintain healthy operations* Participate in Agile Scrum teams and related ceremonies.* Communicate and collaborate across global cross-functional teams to deliver and evolve solutions.* Work independently with minimal supervision while promoting excellence within the team.### **The Essentials - You Will Have:*** Bachelor's degree in engineering or computer science discipline required.* 3 years' experience in application design, development, integration, testing, or DevOps support.* Familiarity of Azure DevOps/Azure Kubernetes /Jenkins/GitHub* Demonstrated hands-on experience with C# .Net, C++, web, or related technologies.* Strong knowledge of API development and familiarity with REST API, web services, RabbitMQ, etc.* Proficiency with relational dB, schema, including writing queries, scripts for data import/export.* Commitment to continuous learning and application of cutting-edge technologies.### **The Preferred - You Might Also Have:*** Familiar with Printed Circuit Board Assembly Process, the Generic Equipment Model (GEM) / Connected Factory Exchange (CFX) protocol, and CAD tools.* Good understanding of IIoT, data patterns, and AI concepts.* Good to have experience in Python, JavaScript, Java.### **What We Offer:**Our benefits package includes …* Comprehensive mindfulness programs with a premium membership to Calm* Volunteer Paid Time off available after 6 months of employment for eligible employees.* Company volunteer and donation matching program – Your volunteer hours or personal cash donations to an eligible charity can be matched with a charitable donation.* Employee Assistance Program* Personalized wellbeing programs through our OnTrack program* On-demand digital course library for professional development... and other local benefits!*At Rockwell Automation we are dedicated to building a diverse, inclusive and authentic workplace, so if you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right person for this or other roles.*Rockwell Automation’s hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office.",Not specified
in-8817a6663e05c52d,indeed,https://sg.indeed.com/viewjob?jk=8817a6663e05c52d,"Customer Engineer, Agentic Workplace Transformation, Google Workspace, Gemini Enterprise (English, Mandarin)",Google,"Singapore, SG",2026-05-07,fulltime,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.### **Minimum qualifications:*** Bachelor's degree in Computer Science, AI-related technical field, or equivalent practical experience.* 1 year of experience with agentic applications, productivity software or cloud native architecture in a customer-facing or support role.* Ability to communicate in English and Mandarin fluently to support client relationship management in this region. ### **Preferred qualifications:*** Experience in designing, building, or implementing agentic AI solutions to automate business processes.* Experience in technical cloud ecosystems for enterprise productivity and related solutions (e.g., messaging, productivity applications, identity management, and endpoint management).* Experience in prompt engineering and guiding customers in designing effective prompts to generate reliable outputs from AI agents.* Knowledge of agentic AI platforms (including Gemini Enterprise), their features, differentiation, and the integration of enterprise-wide data sources and third-party connectors.**About the job**-----------------Google Workspace is a market leading AI-enabled communication and collaboration platform engineered for security, reliability, and scalability, offering capabilities beyond basic productivity. When businesses choose Google Workspace, it's a huge win for spreading the power of cloud computing globally. Gemini Enterprise is an advanced agentic platform for businesses to automate end-to-end workflows, grounded in the business’s full context, bringing the best of Google AI to every employee for every workflow.As a Customer Engineer in the growing small and medium businesses and mid-market segment, you will play a key role in understanding the needs of our customers and contributing to their digital transformation journey. You will deliver what is most helpful for the customer. You will assist sales Googlers by problem-solving key technical issues. You will liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Workspace and Gemini Enterprise.Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.**Responsibilities**--------------------* Work on identifying and qualifying business opportunities, resolving key customer technical objections, and developing strategies to overcome technical blockers.* Architect solutions that leverage Gemini Enterprise to automate end-to-end customer workflows. Drive technical adoption, including managing proof-of-concept work for pre-built and custom AI agents.* Educate partners and customers on leveraging agentic capabilities using Gemini Enterprise, including integrations with third-party data sources.* Educate partners on the power of Google Workspace to drive technical innovation. Help partners develop the technology direction for the Google Workspace solutions they take to market.* Work on the technical Go-to-Market (GTM) strategy for the JAPAC region, guiding other Customer Engineers (CEs) across the region while collaborating with executive sales stakeholders and leaders.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",1
in-c69147b7024bd034,indeed,https://sg.indeed.com/viewjob?jk=c69147b7024bd034,"Technical Program Manager, Street View Operations",Google,"Singapore, SG",2026-05-07,fulltime,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.### **Minimum qualifications:*** Bachelor's degree in a technical field, or equivalent practical experience.* 2 years of experience in program management.* Experience in vendor or partner management for extended workforce operations.* Experience with data analysis, metric definition, and reporting. ### **Preferred qualifications:*** 2 years of experience managing cross-functional or cross-team projects.* Experience with data processing pipelines, data quality analysis, and applying AI/ML concepts to solve operational challenges.* Experience in geospatial technologies, digital mapping, or large-scale data acquisition operations.* Ability to manage budgets, forecasts, and lead complex agreement negotiations with external vendors.* Ability to lead global projects and navigate complex regulatory and policy environments.* Excellent communication and stakeholder management skills, with presenting to executive leadership.**About the job**-----------------A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You’ll work with stakeholders to plan requirements, identify risks, manage project schedules, and communicate clearly with cross-functional partners across the company. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.The Geo team is focused on building the most accurate, comprehensive, and useful maps for our users, through products like Maps, Earth, Street View, Google Maps Platform, and more. Every month, more than a billion people rely on Maps services to explore the world and navigate their daily lives. The Geo team also enables developers to use the power of Google Maps platforms to enhance their apps and websites. As they plot a course for the future of mapping, they are solving complex computer science problems, designing beautiful and intuitive product experiences, and improving our understanding of the real world.**Responsibilities**--------------------* Lead large-scale outsourced Street View data collection programs. Manage the entire program lifecycle from strategic planning, scope definition, and budgeting to execution, new country launches, and performance monitoring.* Oversee the imagery pipeline, from data collection and ingestion to publication. Collaborate with Engineering to troubleshoot technical issues, drive process automation, and support the launch and migration of new operational tools and systems.* Utilize data analysis to define collection scope, optimize for coverage gaps, and improve data quality. Drive initiatives leveraging AI to enhance operational efficiency, such as in automated quality control and predictive modeling for collection goal.* Act as a key liaison between cross-functional teams including Engineering, Product, Legal, Policy, Hardware Operations, and Finance to ensure alignment and navigate technical, regulatory, and policy requirements.* Communicate program status, risks, and metrics to stakeholders and leadership.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",2
in-89a926fe3531f9ef,indeed,https://sg.indeed.com/viewjob?jk=89a926fe3531f9ef,Digital Automation Engineer (RPA/Power Automate),UPS,"Tampines, S00, SG",2026-05-07,,"*** Diploma or Degree in Engineering, Business, IT, or related fields with strong interest in digital automation.* Display ability to analyze workflows, identify automation opportunities, and translate requirements into structured logic.* Familiarity with Microsoft Power Automate or similar low-code tools, with willingness to deepen expertise.* Strong analytical thinking, problem-solving skills, and attention to detail in designing reliable automations.* Effective communication and stakeholder-engagement skills with confidence to challenge assumptions constructively. **Loại nhân viên:** Lâu dài UPS cam kết cung cấp một nơi làm việc không có tình trạng phân biệt đối xử, quấy rối và trả thù.",Not specified
51995814,foundit,https://www.foundit.sg/job/senior-lead-ai-engineer-bcg-x-singapore-boston-consulting-group-bcg-singapore-51995814,"Senior/Lead AI Engineer, BCG X Singapore",boston consulting group (bcg),Singapore,2 days ago,['Full time'],"Job Description
Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.
To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.
We Are BCG X
We're a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world's most complex problems. Leveraging BCG's global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.
What You'll Do
Our BCG X teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing, and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-builds to industry specific leading edge AI software solutions.
As a Lead AI Engineer you'll be part of our rapidly growing engineering team and help to build the next generation of AI solutions. You'll have the chance to partner with clients in a variety of BCG regions and industries, and on key topics like climate change, enabling them to design, build, and deploy new and innovative solutions. Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG X.
We Are Looking For Builder-type Full-stack Developers With a Strong Foundation In Traditional AI/ML, Gen AI (LLMs, LangChain), Data Engineering, And Modern Full-stack Development. The Ideal Candidate Is a Passionate Software Engineer Eager To Apply Advanced Technologies To Help Organizations Become AI-led And Innovation-driven. Successful Candidates Possess The Following
Apply software development practices and standards to develop robust and maintainable software
Actively involved in every part of the software development life cycle
Experienced at guiding non-technical teams and consultants in and best practices for robust software development
Optimize and enhance computational efficiency of algorithms and software design
Motivated by a fast-paced, service-oriented environment and interacting directly with clients on new features for future product releases
Enjoy collaborating in teams to share software design and solution ideas
A natural problem-solver and intellectually curious across a breadth of industries and topics
What You'll Bring
Degree or Master in Computer Science, Engineering, or a related field
Strong experience in software development, with exposure to agile teams and global collaboration
Proficient in Python, C++, or Scala, with solid knowledge of AI/ML, including LLMs, LangChain, and data science libraries like Pandas and Scikit-learn
Skilled in full-stack development using React, JavaScript, TypeScript, and GraphQL, with experience in CI/CD pipelines
Familiar with data engineering (SQL, data pipelines, Spark, Hadoop) and managing relational, non-relational, and streaming data
Working knowledge of DevOps and cloud technologies, including Docker, Kubernetes, Terraform, and platforms like AWS, Azure, or GCP
Understanding of parallel computing, algorithm optimization, and performance tuning
Strong communicator with the ability to guide non-technical stakeholders and contribute in a fast-paced, service-oriented environment
Additional info
Ability to travel based on client and business needs.
Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here  for more information on E-Verify.",Not specified
51992198,foundit,https://www.foundit.sg/job/generative-ai-engineer-openai-hcl-techbee-singapore-51992198,Generative AI Engineer (OpenAI),HCL TechBee,Singapore,2 days ago,['Full time'],"Job Description
Responsibilities
Develop and implement assistant workflows using function and tool calling, returning structured JSON responses.
Build and package reusable agent skills and lightweight tool adapters for enterprise use.
Create RAG pipelines, including data ingestion, chunking, embedding, and indexing, with quality and freshness checks.
Support ChatGPT Enterprise deployments, including workspace setup, SSO/SCIM onboarding, role-based access configuration, and basic custom GPT administration.
Assist with fine-tuning workflows, including dataset preparation, supervised runs, and performance tracking.
Implement operability measures—add telemetry for latency, token usage, and cost metrics; write smoke tests and maintain troubleshooting documentation.
Use frameworks such as LangChain, LangGraph, or Semantic Kernel to build and integrate AI applications.
Connect assistants with enterprise tools (e.g., Teams, SharePoint) using Copilot Studio connectors or lightweight app integrations.
Deploy and manage environments via CI/CD pipelines (GitHub Actions, Azure DevOps) and learn Infrastructure as Code (IaC) using Terraform or Bicep.
Requirements
Graduate in Diploma and specialized in Information Technology/Computer Science/Engineering/Mathematics or relevant.
Strong programming skills in Python with knowledge of REST APIs, JSON, Git, and basic SQL.
Academic or internship experience working with OpenAI APIs, including prompting, function calling, RAG, or assistant frameworks.
Familiarity with CI/CD concepts and enthusiasm to learn IaC, observability, and ChatGPT Enterprise administration.
Experience with LangChain, LangGraph, or Semantic Kernel.
Familiarity with Azure Cognitive Search, Redis, or pgvector for vector-based retrieval.
Exposure to fine-tuning pipelines or Copilot Studio connectors.
Practitioner-level understanding of major cloud platforms (Azure, AWS, or GCP).",Not specified
51996180,foundit,https://www.foundit.sg/job/ai-engineer-intern-marvell-technology-multimedia-solutions-business-singapore-51996180,AI Engineer Intern,Marvell Technology - Multimedia Solutions Business,Singapore,2 days ago,['Full time'],"Job Description
About Marvell
Marvell's semiconductor solutions are the essential building blocks of the data infrastructure that connects our world. Across enterprise, cloud and AI, and carrier architectures, our innovative technology is enabling new possibilities.
At Marvell, you can affect the arc of individual lives, lift the trajectory of entire industries, and fuel the transformative potential of tomorrow. For those looking to make their mark on purposeful and enduring innovation, above and beyond fleeting trends, Marvell is a place to thrive, learn, and lead.
Your Team, Your Impact
Marvell Semiconductors has a world class IT team who is data driven share a strong service mind set and detail oriented. Our IT department implement and maintain the network, IT systems and processes.
What You Can Expect
Work with mentors to define and shape end-to-end AI projects, from idea to delivery.
Gain hands-on experience in Python, Databricks, and AWS while working on real-world use cases.
Support the development of Generative AI and Agentic AI solutions.
Translate business needs into technical approaches and help improve existing AI frameworks.
Develop AI solutions and help enhance existing AI projects using Python.
Explore potential AI frameworks and products to tackle advanced use cases such as OCR, image recognition, and multimodal AI
What We're Looking For
Bachelor or Master in Information Systems, Computer Science or equivalent fields
Basic knowledge of Python and familiarity with databases or cloud platforms
Strong interest in AI, Generative AI, and Agentic AI
Analytical mindset, problem-solving skills, and eagerness to learn.
Good communicator and collaborative team player.
Strong analytical and problem-solving skills
Additional Compensation And Benefit Elements
With competitive compensation and great benefits, you will enjoy our workstyle within an environment of shared collaboration, transparency, and inclusivity. We're dedicated to giving our people the tools and resources they need to succeed in doing work that matters, and to grow and develop with us. For additional information on what it's like to work at Marvell, visit our Careers page.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.
Interview Integrity
As part of our commitment to fair and authentic hiring practices, we ask that candidates do not use AI tools (e.g., transcription apps, real-time answer generators like ChatGPT, CoPilot, or note-taking bots) during interviews.
Our interviews are designed to assess your personal experience, thought process, and communication skills in real-time. If a candidate uses such tools during an interview, they will be disqualified from the hiring process.
This position may require access to technology and/or software subject to U.S. export control laws and regulations, including the Export Administration Regulations (EAR). As such, applicants must be eligible to access export-controlled information as defined under applicable law. Marvell may be required to obtain export licensing approval from the U.S. Department of Commerce and/or the U.S. Department of State. Except for U.S. citizens, lawful permanent residents, or protected individuals as defined by 8 U.S.C. 1324b(a)(3), all applicants may be subject to an export license review process prior to employment.",Not specified
51992071,foundit,https://www.foundit.sg/job/ai-engineer-intern-singtel-singapore-51992071,AI Engineer Intern,Singtel,Singapore,2 days ago,['Full time'],"Job Description
Powering the Future with AIDA
To lead the next phase of our AI evolution, we've launched a new business unit
AIDA
–
Artificial Intelligence & Data Analytics
– a strategic engine driving our transformation designed to scale our AI ambitions with precision and purpose.This marks a
pivotal shift
in how we operate, innovate, and serve to embed intelligence into every layer of our business.
At
Singtel
, this is more than a technology upgrade. It's a
strategic transformation
that redefines how value is created across the enterprise core—
augmenting human capabilities
and unlocking entirely new potential. It is a transformation journey by aligning
people, platforms, and processes
under one cohesive strategy. Our mission is to build
AI literacy
, and foster a culture where
intelligence empowers people
.
We welcome you to join us
on a transformational journey that's reshaping the telecommunications industry — and redefining what's possible with AI at its core.
Grow with us
in a workplace that champions
innovation
, embraces
agility
, and puts
human potential
at the heart of everything we do.
Be a Part of Something BIG!
The AI Engineer Intern will support the development, testing, and experimentation of next-generation AI solutions within AIDA, including Singtel's pioneering AI innovations. The intern will engage in hands-on prototyping (vibe coding), explore new AI/GenAI tools, and assist engineers in building lightweight workflows, models, and applications.
This role offers a unique opportunity to gain practical exposure to AI engineering, rapid experimentation, and enterprise AI product development while contributing to real initiatives that shape how employees interact with AI across Singtel.
Make An Impact By
Support the development and prototyping of new AI and GenAI concepts, including early versions of the AI Avatar and related features.
Explore, evaluate, and experiment with AI tools, libraries, frameworks, and agentic AI capabilities to test feasibility and potential value.
Assist AI engineers with data preparation, prompt experimentation, model testing, and integration validation.
Act as an early-stage tester for new AI solutions to identify bugs, usability issues, and improvement opportunities.
Contribute to building lightweight scripts, workflows, or applications to demonstrate concepts and accelerate iteration.
Document findings, experiment results, and technical learnings to support engineering refinement and decision-making.
Collaborate with solution architects and AI engineers to understand requirements and contribute to iterative development.
Skills For Success
Bachelor's or Master's degree in Computer Science, Engineering, Data, AI/ML or related field.Master's degree in AI, Tech Management, or Business Analytics.
Undergraduate degree in progress (Computer Science, Engineering, AI/ML, Data Science, or related fields). Prior internship or project experience in AI, GenAI, or software development.
Basic Python programming skills.
Familiarity with notebooks, APIs, or ML libraries.
Understanding of prompt engineering basics.
Ability to explore and test AI tools and frameworks. Exposure to LangChain/LangGraph or agentic AI tools.
Experience building lightweight apps or scripts.
Knowledge of cloud or container tools.
Curious, proactive learner with strong analytical thinking.
Comfortable with hands-on experimentation and rapid iteration.
Good communication and documentation habits.
Collaborative mindset when working with engineers. Interest in user experience or product thinking.
Are you ready to say hello to BIG Possibilities
Take the leap with Singtel to unlock new opportunities and accelerate your growth. Apply now and start your empowering career!",Not specified
52027262,foundit,https://www.foundit.sg/job/generative-ai-engineer-resmed-singapore-52027262,Generative AI Engineer,ResMed,Singapore,2 days ago,['Full time'],"Job Description
At
ResMed
, we're shaping the future of digital health and medical technology - and we're looking for an engineer who's ready to push boundaries with
Generative AI
.
As a Generative AI Engineer, you won't just write code. You'll
design, build, and deploy intelligent workflows on AWS that transform the way our engineers, QA specialists, and regulatory teams work
. From modernizing legacy systems to automating testing and compliance, your AI solutions will directly improve how life-changing medical technology gets delivered to millions worldwide.
You'll thrive if you're excited about solving complex problems, comfortable working independently, and energized by collaborating with a
small, high-impact team
that values creativity, speed, and real-world results.
Let's talk about What You'll Do
Build Next-Gen AI Workflows
: Design and deploy Generative AI solutions that eliminate repetitive work, boost efficiency, and free teams to focus on what matters most.
Modernize Systems
: Bring cutting-edge AI into ResMed's tech stack - from fine-tuning LLMs with data flywheels to integrating with MCP servers.
Spot High-Value AI Opportunities
: Identify the projects where AI will deliver the most impact, balancing customer needs, cost, and scalability.
Partner with Experts
: Work side-by-side with engineers, QA teams, and regulatory specialists to translate business needs into technical solutions.
Engineer for Scale
: Optimize AWS serverless infrastructure and analytics pipelines to keep workflows secure, scalable, and cost-effective.
Innovate & Iterate
: Take ownership of projects end-to-end, adapt quickly based on feedback, and help teammates succeed along the way.
Let's talk about What You Bring
Experience
: Proficiency in software engineering, with hands-on experience developing and deploying generative AI solutions.
Relevant Engineering or Science degrees (Software, Computer)
Technical Strength
: Proficiency in .NET, AWS serverless (Lambda, API Gateway), data analytics (Glue, Athena), and AI frameworks (PyTorch, Hugging Face).
AI Expertise
: Familiarity with multi-agent systems, model fine-tuning, and building data flywheels.
Collaboration Skills
: Strong product sense, ability to engage stakeholders directly, and communication skills that make complex concepts clear.
Problem-Solving Drive
: You know how to design AI systems that are not just powerful but
practical, measurable, and safe
.
Nice to Have
UI/UX or frontend development (React, JavaScript) experience.
Familiarity with JAMA or requirements management tools.
Knowledge of FDA regulations, medical device testing, or integrating AI with hardware systems.
What Success Looks Like
Secure, scalable AI workflows live on AWS, transforming engineering, QA, and compliance.
Significant reductions in engineering effort and error rates through AI-powered automation.
Production-ready AI tools - from fine-tuned models to multi-agent systems - integrated seamlessly into ResMed's internal ecosystem.
This role is your chance to
shape how AI is used in life-changing healthcare technology
. If you're eager to turn big ideas into real-world impact, we'd love to hear from you.
#LI-APAC
Joining us is more than saying yes to making the world a healthier place. It's discovering a career that's challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now! We commit to respond to every applicant.",Not specified
